time;MSL_filtered_GIA_TPA_corrected_adjusted;
2010-07-29;7.8514853;
2010-07-30;7.862633;
2010-07-31;7.8738837;
2010-08-01;7.885247;
2010-08-02;7.8967347;
2010-08-03;7.9083576;
2010-08-04;7.920129;
2010-08-05;7.9320607;
2010-08-06;7.9441676;
2010-08-07;7.9564643;
2010-08-08;7.968966;
2010-08-09;7.98169;
2010-08-10;7.9946537;
2010-08-11;8.007875;
2010-08-12;8.021375;
2010-08-13;8.0351715;
2010-08-14;8.049287;
2010-08-15;8.063743;
2010-08-16;8.078562;
2010-08-17;8.093765;
2010-08-18;8.109377;
2010-08-19;8.125418;
2010-08-20;8.1419115;
2010-08-21;8.158879;
2010-08-22;8.176343;
2010-08-23;8.1943245;
2010-08-24;8.212843;
2010-08-25;8.231919;
2010-08-26;8.251573;
2010-08-27;8.271821;
2010-08-28;8.292682;
2010-08-29;8.314172;
2010-08-30;8.336308;
2010-08-31;8.359101;
2010-09-01;8.382567;
2010-09-02;8.406717;
2010-09-03;8.431562;
2010-09-04;8.457111;
2010-09-05;8.483374;
2010-09-06;8.510355;
2010-09-07;8.53806;
2010-09-08;8.566494;
2010-09-09;8.595657;
2010-09-10;8.625551;
2010-09-11;8.656173;
2010-09-12;8.687521;
2010-09-13;8.719589;
2010-09-14;8.752372;
2010-09-15;8.785858;
2010-09-16;8.820039;
2010-09-17;8.854901;
2010-09-18;8.89043;
2010-09-19;8.926611;
2010-09-20;8.963426;
2010-09-21;9.0008545;
2010-09-22;9.038879;
2010-09-23;9.0774765;
2010-09-24;9.116625;
2010-09-25;9.1563;
2010-09-26;9.196476;
2010-09-27;9.237129;
2010-09-28;9.278233;
2010-09-29;9.319757;
2010-09-30;9.361677;
2010-10-01;9.403963;
2010-10-02;9.446585;
2010-10-03;9.4895115;
2010-10-04;9.532713;
2010-10-05;9.576157;
2010-10-06;9.619811;
2010-10-07;9.663642;
2010-10-08;9.707616;
2010-10-09;9.751698;
2010-10-10;9.795853;
2010-10-11;9.840045;
2010-10-12;9.884237;
2010-10-13;9.928393;
2010-10-14;9.972478;
2010-10-15;10.016451;
2010-10-16;10.060276;
2010-10-17;10.103915;
2010-10-18;10.147329;
2010-10-19;10.190481;
2010-10-20;10.233332;
2010-10-21;10.275842;
2010-10-22;10.317972;
2010-10-23;10.359685;
2010-10-24;10.400939;
2010-10-25;10.441696;
2010-10-26;10.481915;
2010-10-27;10.521558;
2010-10-28;10.560581;
2010-10-29;10.598947;
2010-10-30;10.63661;
2010-10-31;10.6735325;
2010-11-01;10.709672;
2010-11-02;10.744986;
2010-11-03;10.779433;
2010-11-04;10.812974;
2010-11-05;10.845566;
2010-11-06;10.877171;
2010-11-07;10.907748;
2010-11-08;10.93726;
2010-11-09;10.965669;
2010-11-10;10.992939;
2010-11-11;11.019033;
2010-11-12;11.043919;
2010-11-13;11.06756;
2010-11-14;11.089927;
2010-11-15;11.110988;
2010-11-16;11.130712;
2010-11-17;11.14907;
2010-11-18;11.166035;
2010-11-19;11.181579;
2010-11-20;11.195676;
2010-11-21;11.208301;
2010-11-22;11.219428;
2010-11-23;11.229033;
2010-11-24;11.237096;
2010-11-25;11.243589;
2010-11-26;11.248494;
2010-11-27;11.251789;
2010-11-28;11.253453;
2010-11-29;11.253468;
2010-11-30;11.251815;
2010-12-01;11.248477;
2010-12-02;11.243439;
2010-12-03;11.236686;
2010-12-04;11.228205;
2010-12-05;11.217984;
2010-12-06;11.206015;
2010-12-07;11.1922865;
2010-12-08;11.176793;
2010-12-09;11.15953;
2010-12-10;11.1404915;
2010-12-11;11.119677;
2010-12-12;11.097085;
2010-12-13;11.072719;
2010-12-14;11.046578;
2010-12-15;11.018672;
2010-12-16;10.989003;
2010-12-17;10.9575815;
2010-12-18;10.924416;
2010-12-19;10.889517;
2010-12-20;10.852898;
2010-12-21;10.814573;
2010-12-22;10.774558;
2010-12-23;10.73287;
2010-12-24;10.689527;
2010-12-25;10.644549;
2010-12-26;10.597958;
2010-12-27;10.549775;
2010-12-28;10.500025;
2010-12-29;10.448732;
2010-12-30;10.395923;
2010-12-31;10.341624;
2011-01-01;10.285864;
2011-01-02;10.228672;
2011-01-03;10.170079;
2011-01-04;10.110117;
2011-01-05;10.048817;
2011-01-06;9.986213;
2011-01-07;9.922339;
2011-01-08;9.857232;
2011-01-09;9.790927;
2011-01-10;9.723462;
2011-01-11;9.654877;
2011-01-12;9.58521;
2011-01-13;9.514503;
2011-01-14;9.442796;
2011-01-15;9.370134;
2011-01-16;9.29656;
2011-01-17;9.22212;
2011-01-18;9.146858;
2011-01-19;9.070822;
2011-01-20;8.994059;
2011-01-21;8.916616;
2011-01-22;8.838544;
2011-01-23;8.7598915;
2011-01-24;8.680708;
2011-01-25;8.601046;
2011-01-26;8.520955;
2011-01-27;8.440487;
2011-01-28;8.359693;
2011-01-29;8.278626;
2011-01-30;8.197338;
2011-01-31;8.115883;
2011-02-01;8.034311;
2011-02-02;7.952678;
2011-02-03;7.8710356;
2011-02-04;7.7894373;
2011-02-05;7.7079372;
2011-02-06;7.6265893;
2011-02-07;7.545447;
2011-02-08;7.464564;
2011-02-09;7.383995;
2011-02-10;7.3037944;
2011-02-11;7.224015;
2011-02-12;7.144712;
2011-02-13;7.0659385;
2011-02-14;6.9877477;
2011-02-15;6.910193;
2011-02-16;6.8333273;
2011-02-17;6.7572026;
2011-02-18;6.681871;
2011-02-19;6.6073833;
2011-02-20;6.5337896;
2011-02-21;6.4611397;
2011-02-22;6.389482;
2011-02-23;6.3188634;
2011-02-24;6.249331;
2011-02-25;6.180929;
2011-02-26;6.1137023;
2011-02-27;6.047692;
2011-02-28;5.9829392;
2011-03-01;5.919484;
2011-03-02;5.857363;
2011-03-03;5.7966137;
2011-03-04;5.7372704;
2011-03-05;5.679365;
2011-03-06;5.6229305;
2011-03-07;5.5679965;
2011-03-08;5.5145903;
2011-03-09;5.46274;
2011-03-10;5.41247;
2011-03-11;5.363805;
2011-03-12;5.3167663;
2011-03-13;5.2713757;
2011-03-14;5.227652;
2011-03-15;5.185614;
2011-03-16;5.145278;
2011-03-17;5.1066585;
2011-03-18;5.0697694;
2011-03-19;5.0346227;
2011-03-20;5.0012283;
2011-03-21;4.9695954;
2011-03-22;4.939731;
2011-03-23;4.9116406;
2011-03-24;4.885329;
2011-03-25;4.8607974;
2011-03-26;4.838048;
2011-03-27;4.81708;
2011-03-28;4.797891;
2011-03-29;4.7804785;
2011-03-30;4.7648363;
2011-03-31;4.7509594;
2011-04-01;4.7388396;
2011-04-02;4.7284675;
2011-04-03;4.719832;
2011-04-04;4.7129216;
2011-04-05;4.707722;
2011-04-06;4.704219;
2011-04-07;4.7023945;
2011-04-08;4.7022324;
2011-04-09;4.7037115;
2011-04-10;4.7068124;
2011-04-11;4.711512;
2011-04-12;4.7177873;
2011-04-13;4.725613;
2011-04-14;4.7349634;
2011-04-15;4.7458105;
2011-04-16;4.758126;
2011-04-17;4.7718797;
2011-04-18;4.7870407;
2011-04-19;4.803578;
2011-04-20;4.8214574;
2011-04-21;4.840646;
2011-04-22;4.8611083;
2011-04-23;4.8828087;
2011-04-24;4.9057107;
2011-04-25;4.9297767;
2011-04-26;4.954968;
2011-04-27;4.9812446;
2011-04-28;5.0085664;
2011-04-29;5.036892;
2011-04-30;5.0661798;
2011-05-01;5.0963864;
2011-05-02;5.1274686;
2011-05-03;5.1593823;
2011-05-04;5.1920824;
2011-05-05;5.2255235;
2011-05-06;5.25966;
2011-05-07;5.294445;
2011-05-08;5.3298335;
2011-05-09;5.365779;
2011-05-10;5.402234;
2011-05-11;5.439154;
2011-05-12;5.4764934;
2011-05-13;5.5142055;
2011-05-14;5.5522466;
2011-05-15;5.590572;
2011-05-16;5.629138;
2011-05-17;5.6679025;
2011-05-18;5.706822;
2011-05-19;5.7458553;
2011-05-20;5.784962;
2011-05-21;5.824102;
2011-05-22;5.863236;
2011-05-23;5.902326;
2011-05-24;5.941335;
2011-05-25;5.9802275;
2011-05-26;6.018968;
2011-05-27;6.0575223;
2011-05-28;6.095857;
2011-05-29;6.13394;
2011-05-30;6.17174;
2011-05-31;6.209225;
2011-06-01;6.246365;
2011-06-02;6.283131;
2011-06-03;6.3194933;
2011-06-04;6.355424;
2011-06-05;6.3908944;
2011-06-06;6.4258776;
2011-06-07;6.4603457;
2011-06-08;6.4942718;
2011-06-09;6.5276284;
2011-06-10;6.56039;
2011-06-11;6.5925283;
2011-06-12;6.6240172;
2011-06-13;6.65483;
2011-06-14;6.68494;
2011-06-15;6.7143207;
2011-06-16;6.7429457;
2011-06-17;6.77079;
2011-06-18;6.797828;
2011-06-19;6.8240356;
2011-06-20;6.849389;
2011-06-21;6.8738647;
2011-06-22;6.8974414;
2011-06-23;6.920098;
2011-06-24;6.941814;
2011-06-25;6.962571;
2011-06-26;6.9823523;
2011-06-27;7.0011406;
2011-06-28;7.0189214;
2011-06-29;7.0356803;
2011-06-30;7.051405;
2011-07-01;7.066083;
2011-07-02;7.0797043;
2011-07-03;7.0922585;
2011-07-04;7.1037374;
2011-07-05;7.114133;
2011-07-06;7.123438;
2011-07-07;7.1316466;
2011-07-08;7.1387525;
2011-07-09;7.144752;
2011-07-10;7.1496406;
2011-07-11;7.153415;
2011-07-12;7.156074;
2011-07-13;7.1576157;
2011-07-14;7.1580386;
2011-07-15;7.157344;
2011-07-16;7.155532;
2011-07-17;7.1526046;
2011-07-18;7.148564;
2011-07-19;7.1434135;
2011-07-20;7.137158;
2011-07-21;7.1298018;
2011-07-22;7.121351;
2011-07-23;7.111811;
2011-07-24;7.1011906;
2011-07-25;7.089497;
2011-07-26;7.07674;
2011-07-27;7.0629287;
2011-07-28;7.0480747;
2011-07-29;7.0321894;
2011-07-30;7.0152864;
2011-07-31;6.997379;
2011-08-01;6.978481;
2011-08-02;6.9586086;
2011-08-03;6.9377785;
2011-08-04;6.9160075;
2011-08-05;6.8933144;
2011-08-06;6.8697176;
2011-08-07;6.8452377;
2011-08-08;6.819895;
2011-08-09;6.79371;
2011-08-10;6.766706;
2011-08-11;6.738904;
2011-08-12;6.7103276;
2011-08-13;6.681;
2011-08-14;6.6509457;
2011-08-15;6.6201878;
2011-08-16;6.5887513;
2011-08-17;6.5566616;
2011-08-18;6.523944;
2011-08-19;6.490625;
2011-08-20;6.456732;
2011-08-21;6.422291;
2011-08-22;6.38733;
2011-08-23;6.3518786;
2011-08-24;6.315964;
2011-08-25;6.279616;
2011-08-26;6.2428627;
2011-08-27;6.205734;
